"SERIALNO","PUMA5","HWEIGHT","UNITTYPE","PERSONS","BLDGSZ","HINC"
"0026894","25110",19,0,4,"02",89304
"0026896","25020",27,0,5,"02",162500
"0026997","25120",6,0,0,"02",0
"0027202","25100",16,0,1,"02",8100
"0027209","25060",21,0,2,"07",138000
"0027245","25100",24,0,4,"02",69600
"0027285","25120",12,0,0,"02",0
"0027373","25040",29,0,3,"02",101800
"0027434","25070",24,0,1,"02",21700
"0027459","25060",14,0,5,"04",43000
"0027533","25070",29,0,3,"09",11700
"0027580","25050",19,0,2,"02",79400
"0027613","25090",0,2,1,"  ",0
"0027644","25120",13,0,3,"01",58630
"0027758","25090",21,0,4,"05",70000
"0027759","25020",19,0,3,"02",134630
"0027879","25120",18,0,2,"02",102220
"0027951","25120",16,0,2,"02",17000
"0027983","25030",19,0,2,"09",27600
"0027987","25080",24,0,1,"08",45000
"0028057","25090",0,2,1,"  ",0
"0028159","25120",13,0,0,"02",0
"0028312","25070",13,0,2,"02",31100
"0028316","25050",35,0,3,"02",110700
"0028455","25130",13,0,6,"05",58870
"0028528","25010",24,0,1,"09",7400
"0028548","25020",13,0,3,"02",90000
"0028570","25010",12,0,0,"04",0
"0028607","25030",19,0,3,"08",6800
"0028640","25010",22,0,1,"05",5180
"0028649","25120",24,0,1,"02",16500
"0028664","25070",19,0,2,"09",40000
"0028679","25120",18,0,0,"02",0
"0028697","25020",13,0,4,"02",1e+05
"0028715","25030",16,0,3,"04",56500
"0028731","25070",22,0,1,"04",9300
"0028842","25050",24,0,3,"02",37500
"0028861","25090",16,0,2,"05",104000
"0028876","25070",27,0,1,"02",20000
"0028905","25100",19,0,4,"02",167500
"0028928","25040",21,0,5,"02",36400
"0028945","25110",19,0,4,"07",46200
"0028970","25100",0,2,1,"  ",0
"0029096","25130",19,0,3,"02",298130
"0029180","25020",27,0,2,"04",79004
"0029210","25100",27,0,2,"04",25200
"0029240","25070",19,0,2,"09",12100
"0029311","25120",16,0,4,"02",198500
"0029334","25050",16,0,4,"02",53200
"0029345","25040",19,0,1,"02",55000
"0029363","25120",21,0,0,"02",0
"0029565","25100",21,0,1,"08",7620
"0029575","25020",21,0,1,"02",32100
"0029631","25060",13,0,2,"02",129440
"0029634","25090",22,0,3,"05",26200
"0029655","25030",21,0,2,"02",22000
"0029844","25120",27,0,1,"02",24000
"0029984","25070",17,0,4,"02",94740
"0029999","25110",30,0,5,"02",69400
"0030021","25080",25,0,2,"02",22800
"0030065","25120",11,0,3,"02",56400
"0030144","25100",26,0,2,"06",382000
"0030234","25070",5,0,2,"02",48400
"0030251","25130",19,0,4,"02",110040
"0030277","25110",16,0,1,"02",34000
"0030306","25070",24,0,1,"09",5980
"0030384","25070",21,0,1,"07",27000
"0030400","25090",18,0,1,"05",8700
"0030424","25010",18,0,2,"02",53600
"0030511","25010",5,0,3,"02",51900
"0030524","25040",19,0,4,"02",94000
"0030528","25100",24,0,2,"02",75000
"0030610","25090",21,0,1,"05",27000
"0030617","25040",21,0,1,"05",31000
"0030633","25060",16,0,1,"04",7000
"0030639","25020",21,0,2,"02",47000
"0030658","25100",32,0,2,"06",19200
"0030748","25100",8,0,2,"02",54010
"0030782","25060",27,0,1,"02",44000
"0030805","25070",16,0,2,"02",62850
"0030881","25110",16,0,1,"02",85000
"0030921","25100",27,0,1,"09",1200
"0030949","25090",16,0,3,"02",87600
"0030995","25070",19,0,2,"02",81000
"0031187","25080",18,0,6,"03",56500
"0031323","25110",0,2,1,"  ",0
"0031429","25120",21,0,1,"06",21800
"0031430","25040",27,0,1,"06",28030
"0031431","25090",0,2,1,"  ",0
"0031440","25050",24,0,1,"09",7250
"0031604","25120",19,0,1,"02",12800
"0031653","25100",0,2,1,"  ",0
"0031745","25020",30,0,1,"09",47000
"0031796","25070",22,0,1,"02",56300
"0032293","25010",19,0,4,"03",112000
"0032361","25110",22,0,1,"08",21000
"0032407","25030",14,0,3,"05",27500
"0032427","25050",13,0,5,"02",306000
"0032436","25110",19,0,5,"02",63410
"0032585","25120",27,0,1,"02",10000
"0032671","25090",0,2,1,"  ",0
"0032727","25040",22,0,1,"02",36900
"0032865","25130",16,0,1,"02",9600
"0033010","25090",35,0,2,"07",1600
"0033029","25050",16,0,2,"04",16000
"0033086","25120",0,2,1,"  ",0
"0033088","25130",21,0,2,"02",34750
"0033191","25130",19,0,1,"07",8400
"0033244","25080",26,0,2,"06",78000
"0033309","25040",17,0,2,"02",299300
"0033507","25090",19,0,2,"05",93000
"0033520","25130",21,0,2,"02",156500
"0033790","25020",14,0,3,"02",46004
"0033888","25060",17,0,3,"09",630
"0034102","25010",27,0,1,"08",1400
"0034150","25010",24,0,3,"05",46000
"0034191","25120",18,0,0,"02",0
"0034281","25010",0,2,1,"  ",0
"0034323","25100",22,0,1,"09",72500
"0034370","25100",21,0,1,"02",138400
"0034411","25060",0,1,1,"  ",0
"0034455","25030",26,0,3,"02",60000
"0034611","25120",16,0,3,"02",87200
"0034671","25110",24,0,2,"02",44000
"0034762","25100",16,0,4,"02",62000
"0034793","25060",16,0,2,"05",80600
"0034818","25090",18,0,1,"05",40300
"0035038","25030",24,0,3,"02",44600
"0035048","25070",24,0,4,"02",157300
"0035114","25050",27,0,4,"02",150300
"0035136","25110",22,0,2,"02",62410
"0035280","25060",19,0,1,"05",6400
"0035463","25010",11,0,1,"02",329900
"0035666","25110",27,0,2,"02",18400
"0035740","25050",0,2,1,"  ",0
"0035800","25100",19,0,3,"04",76000
"0035804","25010",5,0,1,"02",12000
"0035833","25090",24,0,1,"08",3800
"0035856","25130",14,0,2,"02",39100
