SERIALNO,AGE,WRKLYR,INCTOT
2006000559887,41,1,29032.90896
2006000559887,38,1,27122.84916
2006000561127,48,1,40493.26776
2006000561127,18,1,229.207176
2006000561127,15,0,0
2006000563756,21,1,8175.055944
2006000563756,30,1,1146.03588
2006000571638,82,2,9550.299
2006000573154,81,2,86487.50774
2006000573169,80,2,20475.84106
2006000573169,20,1,7411.032024
2006000573616,59,2,40493.26776
2006000573701,53,1,55773.74616
2006000573701,51,1,41257.29168
2006000573701,16,1,1833.657408
2006000574519,34,1,30560.9568
2006000575585,33,1,21392.66976
2006000575585,25,1,21392.66976
2006000575714,40,1,30713.76158
2006000575714,38,2,0
2006000575714,9,0,-15279.71438
2006000575714,5,0,-15279.71438
2006000577936,55,1,5500.972224
2006000577936,19,1,16808.52624
2006000577936,1,0,NA
2006000581986,44,1,29032.90896
2006000581986,41,2,12224.38272
2006000581986,2,0,-15279.71438
2006000585819,32,2,6264.996144
2006000585819,29,2,0
2006000585819,28,2,0
2006000585819,26,2,0
2006000585819,22,2,0
2006000588644,70,2,5500.972224
2006000588644,65,2,5882.984184
2006000598261,33,1,32853.02856
2006000598645,63,1,76402.392
2006000599930,41,1,76402.392
2006000601247,38,1,53558.07679
2006000601247,39,1,61121.9136
2006000601247,7,0,-15279.71438
2006000601247,4,0,-15279.71438
2006000603521,55,1,39729.24384
2006000603521,58,1,7640.2392
2006000603521,83,2,12529.99229
2006000604080,51,1,38224.11672
2006000604080,51,1,30560.9568
2006000604080,21,1,13523.22338
2006000608367,65,1,18336.57408
2006000608394,40,2,10023.99383
2006000609178,35,1,8251.458336
2006000609178,11,0,NA
2006000609772,29,1,56614.17247
2006000609772,29,1,68838.55519
2006000612161,85,2,14592.85687
2006000612161,88,2,8939.079864
2006000612590,32,1,30568.59704
2006000615292,78,2,77777.63506
2006000615292,63,1,201702.3149
2006000615644,28,1,36673.14816
2006000615644,31,1,35909.12424
2006000615644,0,0,NA
2006000616196,29,1,12606.39468
2006000616196,0,0,NA
2006000616196,26,2,0
2006000616211,28,1,152.804784
2006000616211,28,1,15280.4784
2006000620030,73,2,12988.40664
2006000620030,71,2,4354.936344
2006000620535,49,1,20628.64584
2006000620535,14,0,NA
2006000620647,32,1,12988.40664
2006000624688,32,1,51953.62656
2006000627075,84,2,14363.6497
2006000627075,81,2,8939.079864
2006000628568,50,1,19100.598
2006000631464,30,1,79458.48768
2006000631464,30,1,31324.98072
2006000637441,47,1,10696.33488
2006000637441,54,1,11085.98708
2006000637441,40,1,44313.38736
2006000637457,46,1,30560.9568
2006000637457,0,0,NA
2006000637457,2,0,-15279.71438
2006000637457,30,1,2444.876544
2006000637457,6,0,-15279.71438
2006000637475,49,1,51266.00503
2006000637475,53,1,51281.28551
2006000638085,20,1,1528.04784
2006000639888,37,1,14516.45448
2006000640277,18,2,0
2006000643304,36,1,993.231096
2006000643304,36,1,12224.38272
2006000643304,10,0,NA
2006000643304,8,0,-15279.71438
2006000643304,2,0,-15279.71438
2006000647337,68,1,10344.88388
2006000653053,72,2,22997.11999
2006000653372,40,1,15280.4784
2006000653372,41,2,15280.4784
2006000653372,3,0,-15279.71438
2006000654390,56,1,22156.69368
2006000654390,17,1,3820.1196
2006000654390,15,0,0
2006000656172,40,1,38583.20796
2006000656172,38,2,0
2006000656172,5,0,-15279.71438
2006000659222,88,2,12224.38272
2006000659222,88,2,19253.40278
2006000662152,25,1,7640.2392
2006000662152,23,1,7640.2392
2006000663283,33,1,104060.0579
2006000663283,31,2,0
2006000663283,0,0,NA
2006000664318,58,1,53542.79631
2006000664318,56,2,0
2006000665015,50,2,17266.94059
2006000671925,41,1,22003.8889
2006000671925,8,0,-15279.71438
2006000672580,49,1,48133.50696
2006000681934,37,1,22920.7176
2006000681934,12,0,NA
2006000681934,9,0,-15279.71438
2006000681934,34,2,0
2006000686857,26,1,32089.00464
2006000688113,55,1,115138.4047
2006000692325,62,1,62061.66302
2006000692325,62,1,15051.27122
2006000695205,57,1,30560.9568
2006000695205,22,1,1528.04784
2006000695205,54,1,28345.28743
2006000700739,34,1,7640.2392
2006000700739,34,2,152.804784
2006000700894,59,1,22485.22397
2006000700894,47,1,2903.290896
2006000702659,55,1,96649.02588
2006000702659,57,1,23684.74152
2006000703122,76,1,8327.860728
2006000706762,50,1,16808.52624
2006000706762,56,1,55009.72224
2006000706762,24,1,17957.61822
2006000706762,16,1,320.8900464
2006000706762,25,1,21453.79167
2006000707500,38,1,64942.0332
